iucn_sid,range_km2,sciname,dbf_file
907,1390.0000133514404,Alosa immaculata,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2019/CLUPEIFORMES.dbf
908,1506.0000014305115,Alosa alabamae,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2019/CLUPEIFORMES.dbf
1793,22948.750023841858,Aonyx capensis,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2019/TERRESTRIAL_MAMMALS.dbf
2055,1557346.2500562668,Arctocephalus australis,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2019/MARINE_MAMMALS.dbf
2057,105672.75001525879,Arctocephalus galapagoensis,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2019/MARINE_MAMMALS.dbf
2058,17528675.50000763,Arctocephalus gazella,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2019/MARINE_MAMMALS.dbf
2059,3801781.249977112,Arctocephalus philippii,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2019/MARINE_MAMMALS.dbf
2060,1086228.0000171661,Arctocephalus pusillus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2019/MARINE_MAMMALS.dbf
2061,1290375.2499866486,Arctocephalus townsendi,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2019/MARINE_MAMMALS.dbf
2062,13407911.50000763,Arctocephalus tropicalis,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2019/MARINE_MAMMALS.dbf
2467,2409910.500105858,Balaena mysticetus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2019/MARINE_MAMMALS.dbf
2468,2553467.0000486374,Balaena mysticetus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2019/MARINE_MAMMALS.dbf
2469,540386.2500190735,Balaena mysticetus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2019/MARINE_MAMMALS.dbf
2472,3201838.7500109673,Balaena mysticetus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2019/MARINE_MAMMALS.dbf
2474,345997352.75017977,Balaenoptera acutorostrata,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2019/MARINE_MAMMALS.dbf
2475,315475954.5000186,Balaenoptera borealis,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2019/MARINE_MAMMALS.dbf
2476,223716863.9999628,Balaenoptera edeni,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2019/MARINE_MAMMALS.dbf
2477,342384020.50029516,Balaenoptera musculus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2019/MARINE_MAMMALS.dbf
2478,205679438.5002017,Balaenoptera physalus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2019/MARINE_MAMMALS.dbf
2480,173292117.25034046,Balaenoptera bonaerensis,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2019/MARINE_MAMMALS.dbf
2636,1430829.25,Bathyraja abyssicola,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2019/CHONDRICHTHYES.dbf
2762,105046973.75013638,Berardius arnuxii,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2019/MARINE_MAMMALS.dbf
2763,22663049.499973297,Berardius bairdii,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2019/MARINE_MAMMALS.dbf
3590,16867072.999975204,Callorhinus ursinus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2019/MARINE_MAMMALS.dbf
3764,845.75,Canthigaster rapaensis,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2019/PUFFERFISH.dbf
3778,72411083.00006199,Caperea marginata,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2019/MARINE_MAMMALS.dbf
3851,10841114.000033617,Carcharhinus limbatus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2019/CHONDRICHTHYES.dbf
3852,13603414.750014544,Carcharhinus obscurus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2019/CHONDRICHTHYES.dbf
3853,9890098.500039816,Carcharhinus plumbeus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2019/CHONDRICHTHYES.dbf
3854,10793153.500036955,Carcharias taurus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2019/CHONDRICHTHYES.dbf
3855,277160498.7500191,Carcharodon carcharias,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2019/CHONDRICHTHYES.dbf
3897,122445242.74995995,Caretta caretta,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2019/REPTILES.dbf
3898,6828.249997854233,Carettochelys insculpta,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2019/REPTILES.dbf
4131,310.75,Centropyge resplendens,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2019/ANGELFISH.dbf
4159,355583.0000214577,Cephalorhynchus commersonii,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2019/MARINE_MAMMALS.dbf
4160,184185.75003147125,Cephalorhynchus eutropia,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2019/MARINE_MAMMALS.dbf
4161,140638.0000190735,Cephalorhynchus heavisidii,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2019/MARINE_MAMMALS.dbf
4162,87538.2500038147,Cephalorhynchus hectori,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2019/MARINE_MAMMALS.dbf
4292,134183140.00008583,Cetorhinus maximus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2019/CHONDRICHTHYES.dbf
4360,4248,Chaetodon flavocoronatus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2019/BUTTERFLYFISH.dbf
4361,389.75,Chaetodon litus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2019/BUTTERFLYFISH.dbf
4362,156241.7499885559,Chaetodon marleyi,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2019/BUTTERFLYFISH.dbf
4363,0,Prognathodes obliquus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2019/BUTTERFLYFISH.dbf
4364,346781.0000152588,Chaetodon robustus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2019/BUTTERFLYFISH.dbf
4615,176099711.50006533,Chelonia mydas,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2019/REPTILES.dbf
4805,438.25,Chromis sanctaehelenae,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2019/DAMSELFISH.dbf
4982,7036.5,Clinus spatulatus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2019/COMBTOOTHBLENNIES.dbf
5269,19613.000005722046,Conus africanus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2019/CONUS.dbf
5270,5161.250003814697,Conus cepasi,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2019/CONUS.dbf
5272,589,Conus nobrei,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2019/CONUS.dbf
5273,5432.000005722046,Conus zebroides,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2019/CONUS.dbf
5325,678.5,Emblemariopsis tayrona,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2019/COMBTOOTHBLENNIES.dbf
5659,52429.25000810623,Crocodylus acutus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2019/CROCODILES.dbf
5668,172990.50004053116,Crocodylus porosus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2019/CROCODILES.dbf
6204,7612238.500039101,Cystophora cristata,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2019/MARINE_MAMMALS.dbf
6229,6812491.500008583,Dalatias licha,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2019/CHONDRICHTHYES.dbf
6335,9417190.750312328,Delphinapterus leucas,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2019/MARINE_MAMMALS.dbf
6336,80935668.7501049,Delphinus delphis,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2019/MARINE_MAMMALS.dbf
6337,5258531.249945641,Delphinus capensis,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2019/MARINE_MAMMALS.dbf
6494,32901952.50000429,Dermochelys coriacea,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2019/REPTILES.dbf
6814,4766629.7499985695,Dunckerocampus dactyliophorus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2019/SYNGATHIFORM_FISHES.dbf
6909,3479941.2499456406,Dugong dugon,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2019/MARINE_MAMMALS.dbf
7750,1957978.9999833107,Enhydra lutris,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2019/TERRESTRIAL_MAMMALS.dbf
7778,243488.00002288818,Entomacrodus cadenati,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2019/COMBTOOTHBLENNIES.dbf
7854,600153.5000038147,Epinephelus drummondhayi,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2019/GROUPERS.dbf
7855,276796.99997520447,Hyporthodus exsul,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2019/GROUPERS.dbf
7858,6846401.999941349,Epinephelus lanceolatus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2019/GROUPERS.dbf
7859,2338535.0000782013,Epinephelus marginatus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2019/GROUPERS.dbf
7860,1135821.75,Hyporthodus nigritus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2019/GROUPERS.dbf
7861,2143075.500020027,Hyporthodus niveatus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2019/GROUPERS.dbf
7862,980118.5000209808,Epinephelus striatus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2019/GROUPERS.dbf
8005,276304588.50004244,Eretmochelys imbricata,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2019/REPTILES.dbf
8010,12803860.250391483,Erignathus barbatus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2019/MARINE_MAMMALS.dbf
8097,1857485.9998931885,Eschrichtius robustus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2019/MARINE_MAMMALS.dbf
8099,2127524.0000362396,Eschrichtius robustus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2019/MARINE_MAMMALS.dbf
8153,86171325.25006866,Eubalaena australis,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2019/MARINE_MAMMALS.dbf
