iucn_sid,sciname,suit_all,kingdom,phylum,class,order,family
10103,Hippopotamus amphibius,marginal,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,HIPPOPOTAMIDAE
181337,Brachygobius kabiliensis,marginal,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,GOBIIDAE
196322,Akihito futuna,marginal,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,GOBIIDAE
196323,Akihito vanuatu,marginal,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,GOBIIDAE
196403,Stiphodon rutilaureus,marginal,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,GOBIIDAE
22680203,Anas laysanensis,marginal,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE
22683658,Chloroceryle aenea,marginal,ANIMALIA,CHORDATA,AVES,CORACIIFORMES,ALCEDINIDAE
22692880,Gallinula tenebrosa,marginal,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE
22693589,Burhinus capensis,marginal,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,BURHINIDAE
22693604,Esacus recurvirostris,marginal,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,BURHINIDAE
22697641,Vultur gryphus,marginal,ANIMALIA,CHORDATA,AVES,CATHARTIFORMES,CATHARTIDAE
22700321,Machetornis rixosa,marginal,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,TYRANNIDAE
22724271,Curaeus curaeus,marginal,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ICTERIDAE
22727471,Charadrius tricollaris,marginal,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,CHARADRIIDAE
22727481,Charadrius bifrontatus,marginal,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,CHARADRIIDAE
22728303,Anas chlorotis,marginal,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE
61634940,Momotus bahamensis,marginal,ANIMALIA,CHORDATA,AVES,CORACIIFORMES,MOMOTIDAE
103709500,Rhipidura javanica,marginal,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,RHIPIDURIDAE
103709532,Rhipidura nigritorquis,marginal,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,RHIPIDURIDAE
103799817,Cinnyris pulchellus,marginal,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,NECTARINIIDAE
103800445,Cinnyris melanogastrus,marginal,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,NECTARINIIDAE
