iucn_sid,habs,max_depth
133376,"9.2, 9.8.2, 9.8.3, 9.8.4",< 200 m
133377,"9.2, 9.3, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m
133378,"9.2, 9.8.1, 9.8.2, 9.8.3, 9.8.4, 9.8.5, 9.8.6",< 200 m
133379,"NA",unknown
133380,"9.2, 9.8.2, 9.8.3, 9.8.4, 9.8.5",< 200 m
133381,"9.2, 9.3, 9.8.1, 9.8.2, 9.8.3, 9.8.4, 9.8.6",< 200 m
133382,9.8.3,< 200 m
133383,"9.8.2, 9.8.3, 9.8.4",< 200 m
133384,9.8.3,< 200 m
133385,9.8.3,< 200 m
133386,"9.2, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m
133387,"9.8.2, 9.8.3",< 200 m
133388,9.8.3,< 200 m
133389,"9.2, 9.3, 9.8.1, 9.8.2, 9.8.3, 9.8.4, 9.8.6, 9.9",< 200 m
133390,"9.2, 9.8.1, 9.8.2, 9.8.3, 9.8.4, 9.8.5, 9.8.6",< 200 m
133391,"9.2, 9.8.1, 9.8.2, 9.8.3, 9.8.4, 9.8.5, 9.8.6",< 200 m
133392,"9.8.2, 9.8.3, 9.8.4",< 200 m
133393,"NA",unknown
133394,9.8.4,< 200 m
133395,"12.7, 9.2, 9.3, 9.8.1, 9.8.2, 9.8.3, 9.8.4, 9.8.6, 9.9",< 200 m
133396,"9.8.3, 9.8.4",< 200 m
133397,"9.8.3, 9.8.5",< 200 m
133398,9.8.3,< 200 m
133399,"9.2, 9.8.1, 9.8.2, 9.8.3, 9.8.4, 9.8.5, 9.8.6",< 200 m
133400,"9.8.1, 9.8.3, 9.8.4",< 200 m
133401,9.8.3,< 200 m
133402,9.8.3,< 200 m
133403,9.8.3,< 200 m
133404,"9.8.2, 9.8.3, 9.8.4",< 200 m
133405,"9.8.2, 9.8.3, 9.8.4, 9.8.5",< 200 m
133406,"9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m
133407,"9.8.1, 9.8.3",< 200 m
133408,"9.2, 9.8.2, 9.8.3, 9.8.4",< 200 m
133409,"9.8.2, 9.8.3, 9.8.4",< 200 m
133410,9.8.3,< 200 m
133411,"9.2, 9.8.2, 9.8.3, 9.8.4",< 200 m
133412,"9.8.2, 9.8.3, 9.8.4",< 200 m
133413,"9.8.2, 9.8.3, 9.8.4, 9.8.5, 9.8.6",< 200 m
133414,"9.2, 9.8.1, 9.8.2, 9.8.3, 9.8.4, 9.8.6",< 200 m
133415,"9.8.3, 9.8.4, 9.8.5",< 200 m
133416,"9.8.2, 9.8.3, 9.8.4, 9.8.5",< 200 m
133417,"9.8.2, 9.8.3, 9.8.4, 9.8.5",< 200 m
133418,9.8.3,< 200 m
133419,"9.2, 9.8.1, 9.8.2, 9.8.3, 9.8.4, 9.8.5, 9.8.6",< 200 m
133420,"9.8.2, 9.8.3, 9.8.4",< 200 m
133421,"NA",unknown
133422,"9.8.2, 9.8.3, 9.8.4, 9.8.5",< 200 m
133423,9.8.3,< 200 m
133424,"9.8.2, 9.8.3, 9.8.4, 9.8.6",< 200 m
133425,"9.2, 9.3, 9.4, 9.8.1, 9.8.3, 9.8.4, 9.8.5, 9.8.6",< 200 m
133426,"9.2, 9.8.2, 9.8.3, 9.8.4, 9.8.5",< 200 m
133427,"9.8.3, 9.8.4",< 200 m
133428,"9.8.1, 9.8.2, 9.8.3, 9.8.4, 9.8.5",< 200 m
133429,"9.8.2, 9.8.3, 9.8.4, 9.8.5",< 200 m
133430,"9.2, 9.8.1, 9.8.2, 9.8.3, 9.8.4, 9.8.5, 9.8.6",< 200 m
133431,"9.8.3, 9.8.5",< 200 m
133432,"9.8.2, 9.8.3",< 200 m
133433,"9.8.2, 9.8.3, 9.8.4, 9.8.5",< 200 m
133434,"9.8.2, 9.8.3, 9.8.4",< 200 m
133435,9.8.3,< 200 m
133436,"9.8.1, 9.8.3",< 200 m
133437,9.8.3,< 200 m
133438,"9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m
133439,"9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m
133440,"9.2, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m
133441,"9.8.3, 9.8.4",< 200 m
133442,"9.2, 9.8.1, 9.8.2, 9.8.3, 9.8.4, 9.8.5, 9.8.6",< 200 m
133443,"9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m
133444,9.2,< 200 m
133445,"9.2, 9.8.1, 9.8.2, 9.8.3, 9.8.4, 9.8.5, 9.8.6",< 200 m
133446,9.2,< 200 m
133447,"NA",unknown
133448,"9.2, 9.8.1, 9.8.2, 9.8.3, 9.8.4, 9.8.5, 9.8.6",< 200 m
133449,"9.2, 9.8.1, 9.8.2, 9.8.3, 9.8.4, 9.8.5, 9.8.6",< 200 m
133450,"9.2, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m
133451,"9.2, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m
133452,"9.2, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m
133453,9.8.3,< 200 m
133454,"9.8.2, 9.8.3, 9.8.4",< 200 m
133455,"NA",unknown
133456,"9.8.1, 9.8.2, 9.8.3, 9.8.4, 9.8.5",< 200 m
133457,"9.8.1, 9.8.3, 9.8.4",< 200 m
133458,"9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m
133459,"9.2, 9.8.1, 9.8.2, 9.8.3, 9.8.4, 9.8.5, 9.8.6",< 200 m
133460,"9.8.2, 9.8.3, 9.8.4",< 200 m
133461,"9.8.1, 9.8.2, 9.8.3, 9.8.4, 9.8.5, 9.8.6",< 200 m
133462,9.8.4,< 200 m
133463,"9.8.3, 9.8.4, 9.8.6",< 200 m
133464,"9.2, 9.8.2, 9.8.3, 9.8.4",< 200 m
133465,"9.8.2, 9.8.3, 9.8.4, 9.8.5",< 200 m
133466,"NA",unknown
133467,"9.2, 9.8.1, 9.8.2, 9.8.3, 9.8.4, 9.8.5, 9.8.6",< 200 m
133468,"9.2, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m
133469,9.8.3,< 200 m
133470,"9.2, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m
133471,"9.2, 9.8.1, 9.8.2, 9.8.3, 9.8.4, 9.8.5, 9.8.6",< 200 m
133472,"9.8.2, 9.8.3",< 200 m
133473,"9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m
133474,"9.2, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m
133475,"NA",unknown
133476,"9.8.1, 9.8.2, 9.8.3, 9.8.4, 9.8.5, 9.8.6",< 200 m
133477,"9.2, 9.8.1, 9.8.2, 9.8.3, 9.8.4, 9.8.5, 9.8.6",< 200 m
133478,"9.2, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m
133479,"9.8.3, 9.8.4",< 200 m
133480,"NA",unknown
133481,"9.8.2, 9.8.3, 9.8.4",< 200 m
133482,"9.2, 9.8.1, 9.8.2, 9.8.3, 9.8.4, 9.8.5, 9.8.6",< 200 m
133483,"9.2, 9.8.1, 9.8.2, 9.8.3, 9.8.4, 9.8.5, 9.8.6",< 200 m
133484,"9.8.2, 9.8.3, 9.8.4",< 200 m
133485,"9.8.2, 9.8.3, 9.8.4",< 200 m
133486,"9.2, 9.8.1, 9.8.2, 9.8.3, 9.8.4, 9.8.5, 9.8.6",< 200 m
133487,"NA",unknown
133488,"9.2, 9.8.1, 9.8.2, 9.8.3, 9.8.4, 9.8.5, 9.8.6",< 200 m
133489,"9.8.2, 9.8.3, 9.8.4",< 200 m
133490,"9.2, 9.8.2, 9.8.3",< 200 m
133491,"9.8.2, 9.8.3, 9.8.4",< 200 m
133492,"9.2, 9.8.1, 9.8.2, 9.8.3, 9.8.4, 9.8.5, 9.8.6",< 200 m
133493,"9.2, 9.8.2, 9.8.3, 9.8.4",< 200 m
133494,9.8.2,< 200 m
133495,"9.8.3, 9.8.4",< 200 m
133496,"9.2, 9.8.1, 9.8.2, 9.8.3, 9.8.4, 9.8.5, 9.8.6",< 200 m
133497,"9.8.2, 9.8.3, 9.8.4, 9.8.5",< 200 m
133498,"9.8.3, 9.8.4",< 200 m
133499,"9.2, 9.8.1, 9.8.2, 9.8.3, 9.8.4, 9.8.5, 9.8.6",< 200 m
133500,"9.8.2, 9.8.3, 9.8.4",< 200 m
133501,"9.2, 9.8.2, 9.8.3, 9.8.4, 9.8.5, 9.8.6",< 200 m
133502,"9.8.1, 9.8.2, 9.8.3, 9.8.4, 9.8.5",< 200 m
133503,"9.8.2, 9.8.3, 9.8.4, 9.8.5, 9.8.6",< 200 m
133504,"9.8.1, 9.8.2, 9.8.3, 9.8.4, 9.8.6, 9.9",< 200 m
133505,"9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m
133506,"9.8.2, 9.8.3, 9.8.4",< 200 m
133507,9.8.4,< 200 m
133508,"9.8.2, 9.8.3, 9.8.4",< 200 m
133509,9.8.3,< 200 m
133510,"9.2, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m
133511,9.2,< 200 m
133512,"NA",unknown
133513,"9.8.2, 9.8.3, 9.8.4",< 200 m
133514,"NA",unknown
133515,"9.8.2, 9.8.3, 9.8.4",< 200 m
133516,"9.2, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m
133517,9.8.3,< 200 m
133518,"NA",unknown
133519,"9.8.1, 9.8.3",< 200 m
133520,"NA",unknown
133521,"9.2, 9.8.1, 9.8.2, 9.8.3, 9.8.4, 9.8.6",< 200 m
133522,"9.2, 9.8.1, 9.8.3, 9.8.4, 9.8.6",< 200 m
133523,"9.2, 9.8.2, 9.8.3, 9.8.4, 9.8.5, 9.8.6",< 200 m
133524,"9.8.2, 9.8.3, 9.8.4, 9.8.5",< 200 m
133525,"9.2, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m
133526,9.8.3,< 200 m
133527,"9.2, 9.8.1, 9.8.2, 9.8.3, 9.8.4, 9.8.5, 9.8.6",< 200 m
133528,"9.2, 9.8.2, 9.8.3, 9.8.4",< 200 m
133529,"9.8.2, 9.8.3, 9.8.4",< 200 m
133530,9.8.3,< 200 m
133531,"9.8.2, 9.8.3, 9.8.4",< 200 m
133532,"9.8.2, 9.8.3",< 200 m
133533,9.2,< 200 m
133534,9.8.3,< 200 m
133535,"9.2, 9.3, 9.8.1, 9.8.2, 9.8.3, 9.8.4, 9.8.6, 9.9",< 200 m
133536,"9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m
133537,"9.8.3, 9.8.5",< 200 m
133538,9.8.3,< 200 m
133539,9.8.3,< 200 m
133540,"9.2, 9.8.1, 9.8.2, 9.8.3, 9.8.4, 9.8.5, 9.8.6",< 200 m
133541,"NA",unknown
133542,"9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m
133543,"9.2, 9.8.1, 9.8.2, 9.8.3, 9.8.4, 9.8.5, 9.8.6",< 200 m
133544,"9.8.1, 9.8.3",< 200 m
133545,"9.8.2, 9.8.3, 9.8.4, 9.8.5",< 200 m
133546,"9.2, 9.8.1, 9.8.2, 9.8.3, 9.8.4, 9.8.5, 9.8.6",< 200 m
133547,"9.8.3, 9.8.4",< 200 m
133548,"9.8.2, 9.8.3, 9.8.4",< 200 m
133549,9.2,< 200 m
133550,9.8.3,< 200 m
133551,"9.8.2, 9.8.3, 9.8.4",< 200 m
133552,9.8.3,< 200 m
133553,"9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m
133554,"9.8.2, 9.8.3, 9.8.4, 9.8.5",< 200 m
133555,"9.2, 9.8.1, 9.8.2, 9.8.3, 9.8.4, 9.8.5, 9.8.6",< 200 m
133556,"9.2, 9.8.2, 9.8.3, 9.8.4",< 200 m
133557,"9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m
133558,"9.8.3, 9.8.4",< 200 m
133559,"9.2, 9.8.2, 9.8.3, 9.8.4",< 200 m
133560,"9.8.2, 9.8.3, 9.8.4",< 200 m
133561,"9.2, 9.8.1, 9.8.2, 9.8.3, 9.8.4, 9.8.5, 9.8.6",< 200 m
133562,"9.2, 9.8.1, 9.8.2, 9.8.3, 9.8.4, 9.8.5, 9.8.6",< 200 m
133563,"9.2, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m
133564,"9.2, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m
133565,"9.8.2, 9.8.3, 9.8.4",< 200 m
133566,"9.2, 9.8.2, 9.8.3",< 200 m
133567,"9.2, 9.8.1, 9.8.2, 9.8.3, 9.8.4, 9.8.5, 9.8.6",< 200 m
133568,"9.2, 9.8.1, 9.8.2, 9.8.3, 9.8.4, 9.8.5, 9.8.6",< 200 m
133569,"9.2, 9.8.1, 9.8.2, 9.8.3, 9.8.4, 9.8.5, 9.8.6",< 200 m
133570,"9.8.1, 9.8.2, 9.8.3, 9.8.4, 9.8.5",< 200 m
133571,"9.2, 9.8.2, 9.8.3, 9.8.4",< 200 m
133572,"9.2, 9.8.1, 9.8.2, 9.8.3, 9.8.4, 9.8.5, 9.8.6",< 200 m
133573,"9.8.2, 9.8.3, 9.8.4",< 200 m
133574,"9.8.2, 9.8.3, 9.8.5, 9.8.6",< 200 m
133575,"9.3, 9.4, 9.8.2, 9.8.4, 9.8.5, 9.8.6, 9.9",< 200 m
133576,"9.8.2, 9.8.3, 9.8.4",< 200 m
133577,"9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m
133578,"9.8.2, 9.8.3, 9.8.4",< 200 m
133579,9.8.3,< 200 m
133580,"9.2, 9.8.1, 9.8.2, 9.8.3, 9.8.4, 9.8.5, 9.8.6",< 200 m
133581,9.8.3,< 200 m
133582,"9.2, 9.8.1, 9.8.2, 9.8.3, 9.8.4, 9.8.5, 9.8.6",< 200 m
133583,"9.8.3, 9.8.4",< 200 m
133584,"9.3, 9.8.1, 9.8.2, 9.8.3, 9.8.4, 9.9",< 200 m
133585,"9.2, 9.8.2, 9.8.3, 9.8.4, 9.8.5, 9.8.6",< 200 m
133586,"NA",unknown
133587,9.8.3,< 200 m
133588,"9.8.1, 9.8.2, 9.8.3, 9.8.4, 9.8.5",< 200 m
133589,"9.8.2, 9.8.3, 9.8.4",< 200 m
133590,"12.7, 9.2, 9.8.2, 9.8.3, 9.8.4, 9.8.5",< 200 m
133591,"9.2, 9.8.1, 9.8.2, 9.8.3, 9.8.4, 9.8.5",< 200 m
133592,"NA",unknown
133593,"9.2, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m
133594,"12.7, 9.2, 9.3, 9.8.1, 9.8.2, 9.8.3, 9.8.4, 9.8.6, 9.9",< 200 m
133595,"9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m
133596,"NA",unknown
133597,9.8.3,< 200 m
133598,"9.8.2, 9.8.3",< 200 m
133599,"9.2, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m
133600,"9.8.3, 9.8.4",< 200 m
133601,"9.2, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m
133602,"9.8.3, 9.8.4",< 200 m
133603,"9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m
133604,"9.8.3, 9.8.4",< 200 m
133605,"9.8.1, 9.8.3, 9.8.4",< 200 m
133606,"9.2, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m
133607,"9.2, 9.8.1, 9.8.2, 9.8.3, 9.8.4, 9.8.5, 9.8.6",< 200 m
133608,"9.2, 9.8.1, 9.8.2, 9.8.3, 9.8.4, 9.8.5, 9.8.6",< 200 m
133609,"9.2, 9.8.1, 9.8.2, 9.8.3, 9.8.4, 9.8.5, 9.8.6",< 200 m
133610,"NA",unknown
133611,"9.8.1, 9.8.3",< 200 m
133612,"9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m
133613,"9.2, 9.8.1, 9.8.2, 9.8.3, 9.8.4, 9.8.5, 9.8.6",< 200 m
133614,9.8.3,< 200 m
133615,"9.2, 9.8.1, 9.8.2, 9.8.3, 9.8.4, 9.8.5, 9.8.6",< 200 m
133616,"9.2, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m
133617,"9.8.3, 9.8.4",< 200 m
133618,"9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m
133619,"9.8.2, 9.8.3, 9.8.4",< 200 m
133620,"9.8.2, 9.8.3, 9.8.4",< 200 m
133621,"9.8.3, 9.8.4",< 200 m
133622,"9.8.2, 9.8.3, 9.8.4, 9.8.5",< 200 m
133623,"9.8.2, 9.8.3, 9.8.4",< 200 m
133624,"9.8.2, 9.8.3, 9.8.4",< 200 m
133625,"NA",unknown
133626,"NA",unknown
133627,"9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m
133628,"9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m
133629,"9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m
133630,"9.8.2, 9.8.3, 9.8.4",< 200 m
133631,"9.8.2, 9.8.3, 9.8.4",< 200 m
133632,"NA",unknown
133633,9.8.3,< 200 m
133634,"9.2, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m
133635,"9.2, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m
133636,9.8.3,< 200 m
133637,9.8.3,< 200 m
133638,"9.2, 9.8.2, 9.8.3, 9.8.4, 9.8.5",< 200 m
133639,"9.8.3, 9.8.4",< 200 m
133640,"9.2, 9.8.1, 9.8.2, 9.8.3, 9.8.4, 9.8.5, 9.8.6",< 200 m
133641,"9.2, 9.8.1, 9.8.2, 9.8.3, 9.8.4, 9.8.5, 9.8.6",< 200 m
133642,"9.2, 9.8.2, 9.8.3, 9.8.4",< 200 m
133643,"9.2, 9.8.1, 9.8.2, 9.8.3, 9.8.4, 9.8.5, 9.8.6",< 200 m
133644,"9.8.2, 9.8.3, 9.8.4, 9.8.5",< 200 m
133645,"9.2, 9.8.1, 9.8.2, 9.8.3, 9.8.4, 9.8.5, 9.8.6",< 200 m
133646,"9.2, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m
133647,"9.8.2, 9.8.3",< 200 m
133648,"9.2, 9.8.1, 9.8.2, 9.8.3, 9.8.4, 9.8.5, 9.8.6",< 200 m
133649,"9.8.2, 9.8.3",< 200 m
133650,"9.8.2, 9.8.3, 9.8.4",< 200 m
133651,"9.8.2, 9.8.3, 9.8.4",< 200 m
133652,"9.2, 9.8.1, 9.8.2, 9.8.3, 9.8.4, 9.8.6",< 200 m
133653,"9.8.2, 9.8.3, 9.8.4",< 200 m
133654,"9.2, 9.8.1, 9.8.2, 9.8.3, 9.8.4, 9.8.6",< 200 m
133655,"9.8.3, 9.8.4",< 200 m
133656,"NA",unknown
133657,"9.3, 9.8.1, 9.8.2, 9.8.3, 9.8.4, 9.8.5, 9.8.6, 9.9",< 200 m
133658,9.8.3,< 200 m
133659,9.8.3,< 200 m
133660,"9.8.2, 9.8.3, 9.8.4",< 200 m
133661,"9.8.4, 9.8.5",< 200 m
133662,"9.8.3, 9.8.4",< 200 m
133663,"9.2, 9.8.1, 9.8.2, 9.8.3, 9.8.4, 9.8.6",< 200 m
133664,9.8.3,< 200 m
133665,"9.8.2, 9.8.3, 9.8.4",< 200 m
133666,"9.8.2, 9.8.3, 9.8.4",< 200 m
133667,9.8.3,< 200 m
133668,"9.4, 9.5, 9.8.2, 9.8.3, 9.8.4, 9.8.5, 9.8.6",< 200 m
133669,"9.8.2, 9.8.3, 9.8.4, 9.8.5",< 200 m
133670,"9.2, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m
133671,"9.8.3, 9.8.5",< 200 m
133672,"NA",unknown
133673,9.8.3,< 200 m
133674,"9.2, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m
133675,"9.2, 9.8.1, 9.8.2, 9.8.3, 9.8.4, 9.8.5, 9.8.6",< 200 m
133676,"9.8.2, 9.8.3, 9.8.4",< 200 m
133677,"NA",unknown
133678,"NA",unknown
133679,"9.8.3, 9.8.5",< 200 m
133680,"9.2, 9.3, 9.8.1, 9.8.2, 9.8.3, 9.8.4, 9.8.6",< 200 m
133681,"9.8.2, 9.8.3",< 200 m
133682,"9.8.3, 9.8.4",< 200 m
133683,"9.2, 9.8.1, 9.8.2, 9.8.3, 9.8.4, 9.8.5, 9.8.6",< 200 m
133684,9.2,< 200 m
133685,9.8.3,< 200 m
133686,"9.8.1, 9.8.2, 9.8.3, 9.8.5, 9.8.6",< 200 m
133687,"9.8.2, 9.8.3, 9.8.4",< 200 m
133688,"9.8.3, 9.8.4",< 200 m
133689,"9.8.2, 9.8.3, 9.8.4",< 200 m
133690,"9.2, 9.8.2, 9.8.3, 9.8.4",< 200 m
133691,"9.2, 9.8.1, 9.8.2, 9.8.3, 9.8.4, 9.8.5, 9.8.6",< 200 m
133692,"9.2, 9.8.2, 9.8.3, 9.8.4",< 200 m
133693,9.8.3,< 200 m
133694,"9.2, 9.8.1, 9.8.2, 9.8.3, 9.8.4, 9.8.5, 9.8.6",< 200 m
133695,"9.8.2, 9.8.3, 9.8.4, 9.8.5",< 200 m
133696,"9.8.2, 9.8.3, 9.8.4, 9.8.5",< 200 m
133697,9.8.3,< 200 m
133698,"9.8.2, 9.8.3, 9.8.4",< 200 m
133699,9.8.4,< 200 m
133700,"9.2, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m
133701,"9.8.2, 9.8.3, 9.8.4",< 200 m
133702,9.8.3,< 200 m
133703,"NA",unknown
133704,"10.1, 9.1",200 m +
133706,"10.1, 9.1",200 m +
133710,"10.1, 9.1",200 m +
133712,"10.1, 9.1",200 m +
133714,"10.1, 9.1, 9.10",200 m +
133729,"NA",unknown
135301,"10.1, 13.1, 9.1, 9.1",200 m +
135302,"10.1, 13.1, 9.1, 9.1",200 m +
135303,"10.1, 13.1, 9.1, 9.1",200 m +
135306,"10.1, 13.1, 9.1, 9.1",200 m +
135308,"10.1, 13.1, 9.1, 9.1",200 m +
135309,"10.1, 13.1, 9.1, 9.1",200 m +
135310,"10.1, 13.1, 9.1, 9.1",200 m +
135311,"10.1, 13.1, 9.1, 9.1",200 m +
135312,"10.1, 13.1, 9.1, 9.1",200 m +
135313,"10.1, 13.1, 9.1, 9.1",200 m +
135315,"10.1, 13.1, 9.1, 9.1",200 m +
135316,"10.1, 13.1, 9.1, 9.1",200 m +
135317,"10.1, 13.1, 9.1, 9.1",200 m +
135318,"10.1, 13.1, 9.1, 9.1",200 m +
135319,"10.1, 13.1, 9.1, 9.1",200 m +
135320,"10.1, 13.1, 9.1, 9.1",200 m +
135321,"10.1, 13.1, 9.1, 9.1",200 m +
135322,"10.1, 13.1, 9.1, 9.1",200 m +
135323,"10.1, 13.1, 9.1, 9.1",200 m +
135324,"10.1, 13.1, 9.1, 9.1",200 m +
135325,"10.1, 13.1, 9.1, 9.1",200 m +
135326,"10.1, 13.1, 9.1, 9.1",200 m +
135327,"10.1, 13.1, 9.1, 9.1",200 m +
135328,"10.1, 13.1, 9.1, 9.1",200 m +
135329,"10.1, 13.1, 9.1, 9.1",200 m +
135330,"10.1, 13.1, 9.1, 9.1",200 m +
135331,"10.1, 13.1, 9.1, 9.1",200 m +
135332,"10.1, 13.1, 9.1, 9.1",200 m +
135333,"10.1, 13.1, 9.1, 9.1",200 m +
135334,"10.1, 13.1, 9.1, 9.1",200 m +
135335,"10.1, 13.1, 9.1, 9.1",200 m +
135336,"10.1, 13.1, 9.1, 9.1",200 m +
135337,"10.1, 13.1, 9.1, 9.1",200 m +
135338,"10.1, 13.1, 9.1, 9.1",200 m +
135339,"10.1, 13.1, 9.1, 9.1",200 m +
135340,"10.1, 13.1, 9.1, 9.1",200 m +
135341,"10.1, 13.1, 9.1, 9.1",200 m +
135342,"10.1, 13.1, 9.1, 9.1",200 m +
135343,"10.1, 13.1, 9.1, 9.1",200 m +
135344,"10.1, 13.1, 9.1, 9.1",200 m +
135345,"10.1, 13.1, 9.1, 9.1",200 m +
135346,"10.1, 13.1, 9.1, 9.1",200 m +
135347,"10.1, 13.1, 9.1, 9.1",200 m +
135348,"10.1, 13.1, 9.1, 9.1",200 m +
135351,"10.1, 13.1, 9.1, 9.1",200 m +
135352,"10.1, 13.1, 9.1, 9.1",200 m +
135353,"10.1, 13.1, 9.1, 9.1",200 m +
135354,"10.1, 13.1, 9.1, 9.1",200 m +
135355,"10.1, 13.1, 9.1, 9.1",200 m +
135356,"10.1, 13.1, 9.1, 9.1",200 m +
135357,"10.1, 13.1, 9.1, 9.1",200 m +
135358,"10.1, 13.1, 9.1, 9.1",200 m +
135359,"10.1, 13.1, 9.1, 9.1",200 m +
135360,"10.1, 13.1, 9.1, 9.1",200 m +
135361,"10.1, 13.1, 9.1, 9.1",200 m +
135362,"10.1, 13.1, 9.1, 9.1",200 m +
135363,"10.1, 13.1, 9.1, 9.1",200 m +
135365,"10.1, 13.1, 9.1, 9.1",200 m +
135366,"10.1, 13.1, 9.1, 9.1",200 m +
135368,"10.1, 13.1, 9.1, 9.1",200 m +
135369,"10.1, 13.1, 9.1, 9.1",200 m +
135370,"10.1, 13.1, 9.1, 9.1",200 m +
135371,"10.1, 13.1, 9.1, 9.1",200 m +
135372,"10.1, 13.1, 9.1, 9.1",200 m +
135373,"10.1, 13.1, 9.1, 9.1",200 m +
135374,"10.1, 13.1, 9.1, 9.1",200 m +
135375,"10.1, 13.1, 9.1, 9.1",200 m +
135376,"10.1, 13.1, 9.1, 9.1",200 m +
135377,"10.1, 13.1, 9.1, 9.1",200 m +
135379,"10.1, 13.1, 9.1, 9.1",200 m +
135380,"10.1, 13.1, 9.1, 9.1",200 m +
135381,"10.1, 13.1, 9.1, 9.1",200 m +
135484,9.2,< 200 m
135509,9.1,< 200 m
135525,"12.2, 12.5, 9.1",< 200 m
135526,9.1,< 200 m
135548,"9.1, 9.1",< 200 m
135567,"9.1, 9.1",< 200 m
135574,"9.1, 9.4, 9.5, 9.6",< 200 m
135579,"9.1, 9.1",< 200 m
135606,"9.1, 9.1",< 200 m
135608,9.1,< 200 m
135612,"9.1, 9.1",< 200 m
135622,9.1,< 200 m
135654,9.1,< 200 m
135656,9.1,< 200 m
135681,"9.1, 9.1",< 200 m
135682,9.1,< 200 m
135689,"9.1, 9.1",< 200 m
135690,"9.1, 9.4, 9.5, 9.6",< 200 m
135714,"9.1, 9.1",< 200 m
135717,"12.4, 9.1, 9.5, 9.6",< 200 m
135719,"9.1, 9.1",< 200 m
136315,"9.1, 9.1, 9.9",< 200 m
136623,"10.1, 9.1",200 m +
153534,"9.2, 9.3, 9.4, 9.5, 9.9",< 200 m
153535,"12.2, 9.4, 9.5, 9.9",< 200 m
153538,"12.4, 12.6, 9.1, 9.4, 9.5, 9.6, 9.9",< 200 m
154612,9.2,< 200 m
154613,11.1.1,deep oceanic
154614,9.1,< 200 m
154615,"9.3, 9.4, 9.5, 9.6",< 200 m
154616,"10.1, 10.2",200 m +
154617,"18, 9.1",< 200 m
154618,"9.3, 9.4, 9.5, 9.6",< 200 m
154619,"11.1.1, 9.2",200 m +
154620,"10.2, 10.3",200 m +
154621,"9.4, 9.8.5",< 200 m
154622,18,unknown
154623,"9.8.3, 9.8.4, 9.9",< 200 m
154624,9.1,< 200 m
154625,10.2,200 m +
154626,"NA",unknown
154627,9.10,< 200 m
154628,"9.8.3, 9.8.4, 9.8.6",< 200 m
154629,9.8.2,< 200 m
154630,"9.2, 9.3, 9.4",< 200 m
154631,"9.1, 9.4, 9.5",< 200 m
154632,"12.2, 9.4, 9.5, 9.6",< 200 m
154633,"NA",unknown
154634,11.1.2,deep oceanic
154635,"10.1, 10.2, 10.3",200 m +
