iucn_sid,range_km2,sciname,dbf_file
1118,70.36054340527696,Pholidoscelis polops,REPTILES.dbf
2055,1538912.6947045627,Arctocephalus australis,MARINE_MAMMALS.dbf
2057,104255.35585891294,Arctocephalus galapagoensis,MARINE_MAMMALS.dbf
2058,17393898.31840028,Arctocephalus gazella,MARINE_MAMMALS.dbf
2059,3788890.1975057065,Arctocephalus philippii,MARINE_MAMMALS.dbf
2060,1082311.5143616134,Arctocephalus pusillus,MARINE_MAMMALS.dbf
2061,1286306.2223341186,Arctocephalus townsendi,MARINE_MAMMALS.dbf
2062,13341063.232050413,Arctocephalus tropicalis,MARINE_MAMMALS.dbf
2467,2401133.2371844407,Balaena mysticetus,MARINE_MAMMALS.dbf
2468,2545412.8960066214,Balaena mysticetus,MARINE_MAMMALS.dbf
2469,865925.6644201258,Balaena mysticetus,MARINE_MAMMALS.dbf
2472,3187086.1182576995,Balaena mysticetus,MARINE_MAMMALS.dbf
2474,345066789.98706913,Balaenoptera acutorostrata,MARINE_MAMMALS.dbf
2475,314656213.9566396,Balaenoptera borealis,MARINE_MAMMALS.dbf
2476,223474137.11158553,Balaenoptera edeni,MARINE_MAMMALS.dbf
2477,341430326.6109671,Balaenoptera musculus,MARINE_MAMMALS.dbf
2478,204957605.9291058,Balaenoptera physalus,MARINE_MAMMALS.dbf
2480,172462330.3162584,Balaenoptera bonaerensis,MARINE_MAMMALS.dbf
2762,104497864.27524112,Berardius arnuxii,MARINE_MAMMALS.dbf
2763,22568084.4999182,Berardius bairdii,MARINE_MAMMALS.dbf
3590,16784517.35784499,Callorhinus ursinus,MARINE_MAMMALS.dbf
3764,1328.586787757999,Canthigaster rapaensis,PUFFERFISH.dbf
3778,72057693.76790366,Caperea marginata,MARINE_MAMMALS.dbf
3851,10799339.875745546,Carcharhinus limbatus,CHONDRICHTHYES.dbf
3852,13572537.036564158,Carcharhinus obscurus,CHONDRICHTHYES.dbf
3853,9857470.758475974,Carcharhinus plumbeus,CHONDRICHTHYES.dbf
3854,10761124.125269376,Carcharias taurus,CHONDRICHTHYES.dbf
3855,276645284.4738246,Carcharodon carcharias,CHONDRICHTHYES.dbf
3897,122200597.51448055,Caretta caretta,REPTILES.dbf
4131,329.2546713686505,Centropyge resplendens,ANGELFISH.dbf
4160,171751.88873582956,Cephalorhynchus eutropia,MARINE_MAMMALS.dbf
4161,114659.69329570347,Cephalorhynchus heavisidii,MARINE_MAMMALS.dbf
4162,87939.10025925795,Cephalorhynchus hectori,MARINE_MAMMALS.dbf
4292,133783983.29652716,Cetorhinus maximus,CHONDRICHTHYES.dbf
4360,3556.8042135553046,Chaetodon flavocoronatus,BUTTERFLYFISH.dbf
4361,531.1685900939829,Chaetodon litus,BUTTERFLYFISH.dbf
4362,157417.85665257572,Chaetodon marleyi,BUTTERFLYFISH.dbf
4363,0,Prognathodes obliquus,BUTTERFLYFISH.dbf
4364,345452.00472552853,Chaetodon robustus,BUTTERFLYFISH.dbf
4615,175887426.62718695,Chelonia mydas,REPTILES.dbf
4805,234.89310526606275,Chromis sanctaehelenae,DAMSELFISH.dbf
4982,7095.390983853658,Clinus spatulatus,COMBTOOTHBLENNIES.dbf
5272,613.1562684806617,Conus nobrei,CONUS.dbf
5273,5127.019691918594,Conus zebroides,CONUS.dbf
5325,705.0087775981559,Emblemariopsis tayrona,COMBTOOTHBLENNIES.dbf
5659,46137.029855904424,Crocodylus acutus,REPTILES.dbf
5660,10893.237835006696,Mecistops cataphractus,REPTILES.dbf
5667,14986.62486217999,Crocodylus palustris,REPTILES.dbf
6204,7557828.002028242,Cystophora cristata,MARINE_MAMMALS.dbf
6229,6789603.25932056,Dalatias licha,CHONDRICHTHYES.dbf
6335,9414807.373255491,Delphinapterus leucas,MARINE_MAMMALS.dbf
6336,80741861.01847081,Delphinus delphis,MARINE_MAMMALS.dbf
6337,5260272.91339313,Delphinus capensis,MARINE_MAMMALS.dbf
6909,3445294.7628502813,Dugong dugon,MARINE_MAMMALS.dbf
7778,243442.58570522358,Entomacrodus cadenati,COMBTOOTHBLENNIES.dbf
7854,509121.1300559464,Epinephelus drummondhayi,GROUPERS.dbf
7855,277775.3172048431,Hyporthodus exsul,GROUPERS.dbf
7858,17433392.656548876,Epinephelus lanceolatus,GROUPERS.dbf
7859,4228010.912664939,Epinephelus marginatus,GROUPERS.dbf
7860,1122068.4563089425,Hyporthodus nigritus,GROUPERS.dbf
7861,1774393.087388513,Hyporthodus niveatus,GROUPERS.dbf
7862,1082983.8979528644,Epinephelus striatus,GROUPERS.dbf
8005,275660373.8989433,Eretmochelys imbricata,REPTILES.dbf
8010,12778058.9400281,Erignathus barbatus,MARINE_MAMMALS.dbf
8097,1465599.9741374888,Eschrichtius robustus,MARINE_MAMMALS.dbf
8099,2116643.238332035,Eschrichtius robustus,MARINE_MAMMALS.dbf
8153,85707543.89747955,Eubalaena australis,MARINE_MAMMALS.dbf
8239,6377573.193455121,Eumetopias jubatus,MARINE_MAMMALS.dbf
8551,205491790.7552852,Feresa attenuata,MARINE_MAMMALS.dbf
9249,224963471.38414463,Globicephala macrorhynchus,MARINE_MAMMALS.dbf
9250,130173272.9674394,Globicephala melas,MARINE_MAMMALS.dbf
9281,440011.7374469984,Glyphis gangeticus,CHONDRICHTHYES.dbf
9461,235082377.26263395,Grampus griseus,MARINE_MAMMALS.dbf
9660,2898302.6223805216,Halichoerus grypus,MARINE_MAMMALS.dbf
10030,12149803.348443246,Hexanchus griseus,CHONDRICHTHYES.dbf
10340,21188982.081531473,Hydrurga leptonyx,MARINE_MAMMALS.dbf
10707,24211049.68871433,Hyperoodon ampullatus,MARINE_MAMMALS.dbf
10708,91265727.6369279,Hyperoodon planifrons,MARINE_MAMMALS.dbf
11047,252295217.3586907,Kogia breviceps,MARINE_MAMMALS.dbf
11048,236950841.9845752,Kogia sima,MARINE_MAMMALS.dbf
11130,1661459.2408331998,Lachnolaimus maximus,WRASSE.dbf
11140,174462111.48662293,Lagenodelphis hosei,MARINE_MAMMALS.dbf
11141,10188359.816818539,Lagenorhynchus acutus,MARINE_MAMMALS.dbf
11142,12611009.53650154,Lagenorhynchus albirostris,MARINE_MAMMALS.dbf
11143,963920.0214466833,Lagenorhynchus australis,MARINE_MAMMALS.dbf
11144,62070240.11331969,Lagenorhynchus cruciger,MARINE_MAMMALS.dbf
11145,15161006.971086806,Lagenorhynchus obliquidens,MARINE_MAMMALS.dbf
11146,2020079.963619822,Lagenorhynchus obscurus,MARINE_MAMMALS.dbf
11150,4350616.121989225,Lagocephalus gloveri,PUFFERFISH.dbf
11200,100486875.30130021,Lamna nasus,CHONDRICHTHYES.dbf
11534,79041923.6699878,Lepidochelys olivacea,REPTILES.dbf
11696,21188982.081531473,Leptonychotes weddellii,MARINE_MAMMALS.dbf
12125,9978519.00900424,Lissodelphis borealis,MARINE_MAMMALS.dbf
12126,84746705.26165001,Lissodelphis peronii,MARINE_MAMMALS.dbf
12137,146670.45586008433,Lithognathus lithognathus,SEABREAMS_PORGIES.dbf
12246,20316564.589807115,Lobodon carcinophaga,MARINE_MAMMALS.dbf
13006,344189505.1166868,Megaptera novaeangliae,MARINE_MAMMALS.dbf
13241,14328746.337841595,Mesoplodon bidens,MARINE_MAMMALS.dbf
13242,55985244.33862404,Mesoplodon bowdoini,MARINE_MAMMALS.dbf
13243,13434371.331076916,Mesoplodon carlhubbsi,MARINE_MAMMALS.dbf
13244,239286078.79544368,Mesoplodon densirostris,MARINE_MAMMALS.dbf
13245,45709116.54589492,Mesoplodon europaeus,MARINE_MAMMALS.dbf
13246,106937484.62062626,Mesoplodon ginkgodens,MARINE_MAMMALS.dbf
13247,92662541.51567657,Mesoplodon grayi,MARINE_MAMMALS.dbf
13248,62675276.18919578,Mesoplodon hectori,MARINE_MAMMALS.dbf
13249,86502817.67338265,Mesoplodon layardii,MARINE_MAMMALS.dbf
