iucn_sid,sciname,old_cat,iucn_rgn,cat_score,cat_current
13232,Mesogobius batrachocephalus,LC,europe,0,LC
13232,Mesogobius batrachocephalus,LC,mediterranean,0,LC
13241,Mesoplodon bidens,DD,europe,NA,DD
13244,Mesoplodon densirostris,DD,europe,NA,DD
13245,Mesoplodon europaeus,DD,europe,NA,DD
13250,Mesoplodon mirus,DD,europe,NA,DD
13653,Monachus monachus,CR,europe,0.8,CR
13653,Monachus monachus,CR,mediterranean,0.8,CR
13704,Monodon monoceros,"NA",europe,NA,NA
14050,Mycteroperca microlepis,LC,gulf_of_mexico,0,LC
14054,Mycteroperca rubra,LC,europe,0,LC
14054,Mycteroperca rubra,LC,mediterranean,0,LC
14128,Myotis daubentonii,LC,europe,0,LC
14128,Myotis daubentonii,LC,mediterranean,0,LC
14264,Myxus capensis,LC,southern_africa,0,LC
14264,Myxus capensis,LC,pan-africa,0,LC
14521,Neogobius fluviatilis,LC,europe,0,LC
14524,Neogobius melanostomus,LC,europe,0,LC
14629,Neritina tiassalensis,CR,western_africa,0.8,CR
14629,Neritina tiassalensis,CR,pan-africa,0.8,CR
15106,Odobenus rosmarus,"NA",europe,NA,NA
15421,Orcinus orca,DD,europe,NA,DD
15631,Osmerus eperlanus,LC,europe,0,LC
15873,Pagrus pagrus,LC,europe,0,LC
15873,Pagrus pagrus,LC,mediterranean,0,LC
15873,Pagrus pagrus,LC,gulf_of_mexico,0,LC
16012,Favonigobius reichei,LC,eastern_africa,0,LC
16476,Pegasus volitans,LC,persian_gulf,0,LC
16564,Peponocephala electra,"NA",europe,NA,NA
16781,Petromyzon marinus,LC,europe,0,LC
17013,Phoca vitulina,LC,europe,0,LC
17027,Phocoena phocoena,VU,europe,0.4,VU
18175,Pristis pectinata,CR,europe,0.8,CR
18175,Pristis pectinata,CR,mediterranean,0.8,CR
18175,Pristis pectinata,"NA",central_africa,NA,NA
18376,Proterorhinus marmoratus,LC,europe,0,LC
18596,Pseudorca crassidens,"NA",europe,NA,NA
18878,Pungitius pungitius,LC,europe,0,LC
19387,Redigobius dewaali,LC,pan-africa,0,LC
19782,Rutilus frisii,LC,europe,0,LC
19855,Salmo salar,VU,europe,0.4,VU
19861,Salmo trutta,LC,europe,0,LC
19877,Salvelinus alpinus,LC,europe,0,LC
19950,Scarus guacamaia,LC,gulf_of_mexico,0,LC
20731,Stenella coeruleoalba,DD,europe,NA,DD
20731,Stenella coeruleoalba,VU,mediterranean,0.4,VU
20738,Steno bredanensis,"NA",europe,NA,NA
20745,Stenodus leucichthys,EW,europe,1,EX
20860,Sander lucioperca,LC,europe,0,LC
20862,Sander volgensis,LC,europe,0,LC
21257,Syngnathus abaster,LC,europe,0,LC
21257,Syngnathus abaster,LC,mediterranean,0,LC
21856,Thunnus alalunga,LC,europe,0,LC
21856,Thunnus alalunga,LC,mediterranean,0,LC
21856,Thunnus alalunga,LC,gulf_of_mexico,0,LC
21857,Thunnus albacares,LC,gulf_of_mexico,0,LC
21859,Thunnus obesus,NT,gulf_of_mexico,0.2,NT
21860,Thunnus thynnus,NT,europe,0.2,NT
21860,Thunnus thynnus,EN,mediterranean,0.6,EN
21860,Thunnus thynnus,EN,gulf_of_mexico,0.6,EN
22563,Tursiops truncatus,DD,europe,NA,DD
22563,Tursiops truncatus,VU,mediterranean,0.4,VU
22823,Ursus maritimus,VU,europe,0.4,VU
22979,Vimba vimba,LC,europe,0,LC
23148,Xiphias gladius,LC,europe,0,LC
23148,Xiphias gladius,NT,mediterranean,0.2,NT
23148,Xiphias gladius,LC,gulf_of_mexico,0,LC
23211,Ziphius cavirostris,DD,europe,NA,DD
23211,Ziphius cavirostris,DD,mediterranean,NA,DD
23259,Zosterisessor ophiocephalus,LC,europe,0,LC
23259,Zosterisessor ophiocephalus,LC,mediterranean,0,LC
39303,Dermatolepis inermis,LC,gulf_of_mexico,0,LC
39332,Squatina squatina,CR,europe,0.8,CR
39332,Squatina squatina,CR,mediterranean,0.8,CR
39336,Odontaspis noronhai,DD,europe,NA,DD
39339,Alopias vulpinus,EN,europe,0.6,EN
39339,Alopias vulpinus,EN,mediterranean,0.6,EN
39341,Isurus oxyrinchus,DD,europe,NA,DD
39341,Isurus oxyrinchus,CR,mediterranean,0.8,CR
39352,Galeorhinus galeus,VU,europe,0.4,VU
39352,Galeorhinus galeus,VU,mediterranean,0.4,VU
39357,Mustelus asterias,NT,europe,0.2,NT
39357,Mustelus asterias,VU,mediterranean,0.4,VU
39358,Mustelus mustelus,VU,europe,0.4,VU
39358,Mustelus mustelus,VU,mediterranean,0.4,VU
39370,Carcharhinus falciformis,DD,europe,NA,DD
39374,Carcharhinus longimanus,EN,europe,0.6,EN
39378,Galeocerdo cuvier,DD,europe,NA,DD
39381,Prionace glauca,NT,europe,0.2,NT
39381,Prionace glauca,CR,mediterranean,0.8,CR
39385,Sphyrna lewini,DD,europe,NA,DD
39386,Sphyrna mokarran,DD,europe,NA,DD
39388,Sphyrna zygaena,DD,europe,NA,DD
39388,Sphyrna zygaena,CR,mediterranean,0.8,CR
39397,Dipturus batis,CR,europe,0.8,CR
39397,Dipturus batis,CR,mediterranean,0.8,CR
39399,Raja clavata,NT,europe,0.2,NT
39399,Raja clavata,NT,mediterranean,0.2,NT
39400,Raja microocellata,NT,europe,0.2,NT
39418,Mobula mobular,EN,europe,0.6,EN
39418,Mobula mobular,EN,mediterranean,0.6,EN
40708,Pomatoschistus canestrinii,LC,europe,0,LC
40710,Percarina demidoffii,NT,europe,0.2,NT
41006,Hippocampus guttulatus,DD,europe,NA,DD
41006,Hippocampus guttulatus,NT,mediterranean,0.2,NT
41366,Crocidura whitakeri,LC,mediterranean,0,LC
41671,Pagophilus groenlandicus,"NA",europe,NA,NA
41672,Pusa hispida,LC,europe,0,LC
41712,Eubalaena glacialis,CR,europe,0.8,CR
41741,Carcharhinus brachyurus,DD,europe,NA,DD
41741,Carcharhinus brachyurus,DD,mediterranean,NA,DD
41745,Centrophorus uyato,VU,europe,0.4,VU
41747,Centroscymnus coelolepis,EN,europe,0.6,EN
41747,Centroscymnus coelolepis,LC,mediterranean,0,LC
41755,Physeter macrocephalus,VU,europe,0.4,VU
41755,Physeter macrocephalus,EN,mediterranean,0.6,EN
41762,Delphinus delphis,EN,mediterranean,0.6,EN
41794,Chlamydoselachus anguineus,LC,europe,0,LC
41798,Deania calcea,EN,europe,0.6,EN
41801,Echinorhinus brucus,EN,europe,0.6,EN
41801,Echinorhinus brucus,EN,mediterranean,0.6,EN
41823,Heptranchias perlo,DD,europe,NA,DD
41823,Heptranchias perlo,DD,mediterranean,NA,DD
41830,Isistius brasiliensis,"NA",europe,NA,NA
41859,Squalus megalops,DD,europe,NA,DD
41859,Squalus megalops,DD,mediterranean,NA,DD
41871,Centrophorus squamosus,EN,europe,0.6,EN
41876,Odontaspis ferox,CR,europe,0.8,CR
41876,Odontaspis ferox,CR,mediterranean,0.8,CR
43972,Polyprion americanus,NT,europe,0.2,NT
43972,Polyprion americanus,DD,mediterranean,NA,DD
44207,Apristurus aphyodes,LC,europe,0,LC
44216,Apristurus laurussonii,LC,europe,0,LC
44565,Mitsukurina owstoni,LC,europe,0,LC
44566,Pseudotriakis microdon,DD,europe,NA,DD
44599,Apristurus manis,LC,europe,0,LC
44657,Apristurus microps,LC,europe,0,LC
44674,Epinephelus coioides,VU,persian_gulf,0.4,VU
44681,Epinephelus morio,NT,gulf_of_mexico,0.2,NT
44682,Mycteroperca tigris,LC,gulf_of_mexico,0,LC
44683,Mycteroperca venenosa,EN,gulf_of_mexico,0.6,EN
46864,Centroselachus crepidater,LC,europe,0,LC
58705,Pelophylax ridibundus,LC,europe,0,LC
60127,Aetomylaeus bovinus,CR,europe,0.8,CR
60127,Aetomylaeus bovinus,CR,mediterranean,0.8,CR
60139,Harriotta haeckeli,LC,europe,0,LC
60140,Harriotta raleighana,LC,europe,0,LC
60145,Rhinochimaera atlantica,LC,europe,0,LC
60212,Isistius plutodus,LC,europe,0,LC
60213,Somniosus microcephalus,NT,europe,0.2,NT
60214,Squaliolus laticaudus,LC,europe,0,LC
60215,Zameus squamulosus,DD,europe,NA,DD
60225,Isurus paucus,DD,europe,NA,DD
60225,Isurus paucus,DD,mediterranean,NA,DD
60242,Etmopterus princeps,LC,europe,0,LC
60324,Chanos chanos,LC,persian_gulf,0,LC
60344,Anguilla anguilla,EN,northern_africa,0.6,EN
60344,Anguilla anguilla,CR,europe,0.8,CR
60708,Xenochromis hecqui,DD,eastern_africa,NA,DD
60708,Xenochromis hecqui,DD,pan-africa,NA,DD
61213,Oligolepis acutipennis,LC,pan-africa,0,LC
61235,Aphanius baeticus,EN,europe,0.6,EN
61250,Lutjanus argentimaculatus,LC,persian_gulf,0,LC
61395,Petroleuciscus borysthenicus,LC,europe,0,LC
61405,Leucoraja melitensis,CR,europe,0.8,CR
61405,Leucoraja melitensis,CR,mediterranean,0.8,CR
61408,Rostroraja alba,CR,europe,0.8,CR
61408,Rostroraja alba,EN,mediterranean,0.6,EN
61417,Squatina aculeata,CR,europe,0.8,CR
61417,Squatina aculeata,CR,mediterranean,0.8,CR
61418,Squatina oculata,CR,europe,0.8,CR
61418,Squatina oculata,CR,mediterranean,0.8,CR
61538,Natrix maura,LC,europe,0,LC
61617,Anthemis glaberrima,CR,europe,0.8,CR
61617,Anthemis glaberrima,CR,mediterranean,0.8,CR
61654,Anchusa crispa,EN,europe,0.6,EN
61654,Anchusa crispa,EN,mediterranean,0.6,EN
62223,Coregonus sardinella,"NA",europe,NA,NA
62256,Trionyx triunguis,"NA",europe,NA,NA
63100,Dipturus oxyrinchus,NT,europe,0.2,NT
63100,Dipturus oxyrinchus,NT,mediterranean,0.2,NT
63103,Hydrolagus pallidus,LC,europe,0,LC
63104,Hydrolagus mirabilis,LC,europe,0,LC
63114,Chimaera monstrosa,NT,europe,0.2,NT
63114,Chimaera monstrosa,NT,mediterranean,0.2,NT
63115,Bathyraja pallida,LC,europe,0,LC
63119,Amblyraja hyperborea,LC,europe,0,LC
63120,Raja asterias,NT,europe,0.2,NT
63120,Raja asterias,NT,mediterranean,0.2,NT
63123,Hydrolagus affinis,LC,europe,0,LC
63125,Malacoraja kreffti,LC,europe,0,LC
63126,Malacoraja spinacidermis,LC,europe,0,LC
63127,Bathyraja richardsoni,LC,europe,0,LC
63131,Rhinobatos rhinobatos,EN,europe,0.6,EN
63131,Rhinobatos rhinobatos,EN,mediterranean,0.6,EN
63132,Glaucostegus cemiculus,EN,europe,0.6,EN
63132,Glaucostegus cemiculus,EN,mediterranean,0.6,EN
63141,Oxynotus centrina,VU,europe,0.4,VU
63141,Oxynotus centrina,CR,mediterranean,0.8,CR
63146,Raja montagui,LC,europe,0,LC
63146,Raja montagui,LC,mediterranean,0,LC
63149,Galeus atlanticus,NT,europe,0.2,NT
63149,Galeus atlanticus,NT,mediterranean,0.2,NT
63152,Bathytoshia centroura,VU,europe,0.4,VU
63152,Bathytoshia centroura,VU,mediterranean,0.4,VU
63153,Gymnura altavela,CR,europe,0.8,CR
63153,Gymnura altavela,CR,mediterranean,0.8,CR
63338,Oreochromis mossambicus,VU,eastern_africa,0.4,VU
63338,Oreochromis mossambicus,NT,southern_africa,0.2,NT
63338,Oreochromis mossambicus,NT,pan-africa,0.2,NT
63353,Thoracochromis buysi,LC,southern_africa,0,LC
63353,Thoracochromis buysi,LC,pan-africa,0,LC
63356,Glossogobius callidus,LC,pan-africa,0,LC
63359,Chrysichthys ansorgii,LC,southern_africa,0,LC
63359,Chrysichthys ansorgii,LC,pan-africa,0,LC
63360,Chrysichthys bocagii,LC,southern_africa,0,LC
63360,Chrysichthys bocagii,LC,pan-africa,0,LC
63361,Chrysichthys furcatus,DD,pan-africa,NA,DD
63378,Parailia occidentalis,LC,central_africa,0,LC
63378,Parailia occidentalis,LC,pan-africa,0,LC
63442,Eussoia leptodonta,DD,southern_africa,NA,DD
63442,Eussoia leptodonta,DD,pan-africa,NA,DD
63449,Tomichia ventricosa,EN,southern_africa,0.6,EN
63449,Tomichia ventricosa,EN,pan-africa,0.6,EN
64400,Hyporthodus flavolimbatus,LC,gulf_of_mexico,0,LC
64409,Mycteroperca fusca,VU,europe,0.4,VU
64410,Mycteroperca interstitialis,VU,gulf_of_mexico,0.4,VU
132722,Epinephelus aeneus,DD,europe,NA,DD
132722,Epinephelus aeneus,NT,mediterranean,0.2,NT
132724,Mycteroperca bonaci,VU,gulf_of_mexico,0.4,VU
132727,Paranthias furcifer,LC,gulf_of_mexico,0,LC
132729,Mycteroperca phenax,LC,gulf_of_mexico,0,LC
132735,Epinephelus latifasciatus,LC,persian_gulf,0,LC
132740,Epinephelus multinotatus,LC,persian_gulf,0,LC
132751,Epinephelus coeruleopunctatus,LC,persian_gulf,0,LC
132753,Epinephelus polylepis,NT,persian_gulf,0.2,NT
132759,Cephalopholis hemistiktos,NT,persian_gulf,0.2,NT
132761,Cephalopholis cruentata,LC,gulf_of_mexico,0,LC
132762,Epinephelus costae,DD,europe,NA,DD
132762,Epinephelus costae,DD,mediterranean,NA,DD
132764,Alphestes afer,LC,gulf_of_mexico,0,LC
132770,Epinephelus guttatus,LC,gulf_of_mexico,0,LC
132771,Gonioplectrus hispanus,LC,gulf_of_mexico,0,LC
132772,Hyporthodus octofasciatus,DD,persian_gulf,NA,DD
132774,Epinephelus areolatus,NT,persian_gulf,0.2,NT
132787,Anyperodon leucogrammicus,DD,persian_gulf,NA,DD
132796,Epinephelus caninus,LC,europe,0,LC
132796,Epinephelus caninus,DD,mediterranean,NA,DD
132806,Cephalopholis fulva,LC,gulf_of_mexico,0,LC
132814,Aethaloperca rogaa,LC,persian_gulf,0,LC
132819,Epinephelus adscensionis,LC,gulf_of_mexico,0,LC
132824,Epinephelus epistictus,DD,persian_gulf,NA,DD
132826,Epinephelus bleekeri,NT,persian_gulf,0.2,NT
132827,Hyporthodus mystacinus,LC,gulf_of_mexico,0,LC
132828,Hyporthodus haifensis,DD,europe,NA,DD
132828,Hyporthodus haifensis,DD,mediterranean,NA,DD
132830,Mycteroperca acutirostris,LC,gulf_of_mexico,0,LC
133085,Balanophyllia europaea,LC,mediterranean,0,LC
133135,Madracis pharensis,DD,mediterranean,NA,DD
133142,Cladocora caespitosa,EN,mediterranean,0.6,EN
133511,Oculina patagonica,LC,mediterranean,0,LC
135491,Alosa tanaica,LC,europe,0,LC
135496,Alburnus mentoides,EN,europe,0.6,EN
135499,Alburnus chalcoides,LC,europe,0,LC
135509,Knipowitschia longecaudata,LC,europe,0,LC
135510,Benthophilus stellatus,LC,europe,0,LC
135516,Benthophilus durrelli,LC,europe,0,LC
135525,Pomatoschistus microps,LC,europe,0,LC
135525,Pomatoschistus microps,CR,mediterranean,0.8,CR
135526,Benthophilus magistri,LC,europe,0,LC
135532,Alburnus hohenackeri,LC,europe,0,LC
135537,Alosa kessleri,LC,europe,0,LC
135545,Stenodus nelma,LC,europe,0,LC
135548,Alosa caspia,LC,europe,0,LC
135550,Rutilus heckelii,LC,europe,0,LC
135559,Alosa volgensis,EN,europe,0.6,EN
135567,Mugil cephalus,LC,eastern_africa,0,LC
135567,Mugil cephalus,DD,persian_gulf,NA,DD
135567,Mugil cephalus,LC,europe,0,LC
135567,Mugil cephalus,LC,mediterranean,0,LC
135567,Mugil cephalus,LC,western_africa,0,LC
135567,Mugil cephalus,LC,gulf_of_mexico,0,LC
135574,Liopsetta glacialis,LC,europe,0,LC
135579,Liza aurata,LC,europe,0,LC
135579,Liza aurata,LC,mediterranean,0,LC
135590,Alburnus sarmaticus,EN,europe,0.6,EN
135596,Neogobius pallasi,LC,europe,0,LC
135601,Rutilus caspicus,LC,europe,0,LC
135604,Benthophilus nudus,LC,europe,0,LC
135606,Dicentrarchus labrax,LC,europe,0,LC
135606,Dicentrarchus labrax,NT,mediterranean,0.2,NT
135608,Knipowitschia bergi,LC,europe,0,LC
135612,Coregonus widegreni,DD,europe,NA,DD
135622,Caspiosoma caspium,LC,europe,0,LC
135639,Ballerus sapa,LC,europe,0,LC
135644,Alosa algeriensis,DD,europe,NA,DD
135645,Alburnus leobergi,LC,europe,0,LC
135654,Benthophilus mahmudbejovi,LC,europe,0,LC
135656,Benthophilus macrocephalus,LC,europe,0,LC
135658,Salmo labrax,LC,europe,0,LC
135660,Osmerus dentex,LC,europe,0,LC
135664,Barbus kubanicus,LC,europe,0,LC
135665,Coregonus muksun,"NA",europe,NA,NA
135672,Coregonus maraena,VU,europe,0.4,VU
135673,Percarina maeotica,LC,europe,0,LC
135680,Benthophilus leobergius,LC,europe,0,LC
135681,Liza saliens,LC,europe,0,LC
135681,Liza saliens,LC,mediterranean,0,LC
135682,Benthophilus granulosus,LC,europe,0,LC
135684,Luciobarbus brachycephalus,CR,europe,0.8,CR
135687,Luciobarbus capito,VU,europe,0.4,VU
135689,Chelon labrosus,LC,europe,0,LC
135689,Chelon labrosus,LC,mediterranean,0,LC
135689,Chelon labrosus,"NA",western_africa,NA,NA
135690,Pleuronectes platessa,LC,europe,0,LC
135690,Pleuronectes platessa,NT,mediterranean,0.2,NT
135707,Clupeonella caspia,LC,europe,0,LC
135714,Liza ramada,LC,europe,0,LC
135714,Liza ramada,LC,mediterranean,0,LC
135717,Platichthys flesus,LC,europe,0,LC
135717,Platichthys flesus,NT,mediterranean,0.2,NT
135719,Lethenteron camtschaticum,LC,europe,0,LC
153534,Posidonia oceanica,LC,mediterranean,0,LC
153535,Cymodocea nodosa,LC,mediterranean,0,LC
153538,Zostera marina,LC,mediterranean,0,LC
154613,Synaphobranchus affinis,"NA",europe,NA,NA
154615,Laeops guentheri,DD,persian_gulf,NA,DD
154624,Peprilus paru,LC,gulf_of_mexico,0,LC
154631,Citharichthys gymnorhinus,LC,gulf_of_mexico,0,LC
154644,Liparis liparis,LC,europe,0,LC
154649,Lophius gastrophysus,LC,gulf_of_mexico,0,LC
154668,Linophryne lucifer,LC,europe,0,LC
154687,Arnoglossus imperialis,LC,europe,0,LC
154687,Arnoglossus imperialis,LC,mediterranean,0,LC
154693,Neomerinthe hemingwayi,LC,gulf_of_mexico,0,LC
154697,Xyrichtys martinicensis,LC,gulf_of_mexico,0,LC
154708,Diplodus cervinus,LC,europe,0,LC
154708,Diplodus cervinus,DD,mediterranean,NA,DD
154712,Coryphaena hippurus,LC,europe,0,LC
154712,Coryphaena hippurus,LC,mediterranean,0,LC
154712,Coryphaena hippurus,LC,gulf_of_mexico,0,LC
154729,Diaphus rafinesquii,LC,europe,0,LC
154729,Diaphus rafinesquii,LC,mediterranean,0,LC
154749,Petrotyx sanguineus,LC,gulf_of_mexico,0,LC
154753,Hypleurochilus bananensis,LC,europe,0,LC
154753,Hypleurochilus bananensis,DD,mediterranean,NA,DD
154764,Opistognathus maxillosus,LC,gulf_of_mexico,0,LC
154767,Membras martinica,LC,gulf_of_mexico,0,LC
154774,Nematalosa nasus,LC,persian_gulf,0,LC
154793,Jenkinsia lamprotaenia,LC,gulf_of_mexico,0,LC
154798,Thalassobathia pelagica,DD,europe,NA,DD
154799,Serranus tigrinus,LC,gulf_of_mexico,0,LC
154801,Talismania mekistonema,DD,europe,NA,DD
154806,Zalieutes mcgintyi,LC,gulf_of_mexico,0,LC
154807,Caranx crysos,LC,europe,0,LC
154807,Caranx crysos,LC,mediterranean,0,LC
154807,Caranx crysos,LC,gulf_of_mexico,0,LC
154816,Sebastes mentella,EN,europe,0.6,EN
154820,Alepisaurus ferox,LC,europe,0,LC
154820,Alepisaurus ferox,DD,mediterranean,NA,DD
154837,Nemaclinus atelestos,DD,gulf_of_mexico,NA,DD
154844,Platybelone argalus,LC,persian_gulf,0,LC
154844,Platybelone argalus,"NA",europe,NA,NA
154844,Platybelone argalus,LC,gulf_of_mexico,0,LC
154853,Syngnathus floridae,NT,gulf_of_mexico,0.2,NT
154855,Hippichthys spicifer,LC,eastern_africa,0,LC
154855,Hippichthys spicifer,LC,pan-africa,0,LC
154906,Brama dussumieri,LC,gulf_of_mexico,0,LC
154916,Chaenophryne longiceps,LC,europe,0,LC
154928,Antigonia combatia,LC,gulf_of_mexico,0,LC
154929,Benthocometes robustus,LC,europe,0,LC
154929,Benthocometes robustus,DD,mediterranean,NA,DD
154933,Tetrosomus gibbosus,LC,persian_gulf,0,LC
154939,Apterichtus kendalli,LC,gulf_of_mexico,0,LC
154970,Trachinotus goodei,LC,gulf_of_mexico,0,LC
154972,Parablennius zvonimiri,LC,europe,0,LC
154989,Sardinella longiceps,LC,persian_gulf,0,LC
154995,Diaphus holti,LC,europe,0,LC
154995,Diaphus holti,LC,mediterranean,0,LC
154997,Bregmaceros atlanticus,LC,europe,0,LC
154997,Bregmaceros atlanticus,LC,gulf_of_mexico,0,LC
154998,Argyropelecus hemigymnus,LC,europe,0,LC
154998,Argyropelecus hemigymnus,LC,mediterranean,0,LC
155000,Minous dempsterae,LC,persian_gulf,0,LC
155013,Parablennius parvicornis,LC,europe,0,LC
155014,Alectis ciliaris,LC,persian_gulf,0,LC
155014,Alectis ciliaris,LC,gulf_of_mexico,0,LC
155021,Coryphopterus hyalinus,VU,gulf_of_mexico,0.4,VU
155023,Callionymus sagitta,DD,persian_gulf,NA,DD
155025,Siganus rivulatus,DD,persian_gulf,NA,DD
155030,Macroramphosus scolopax,LC,europe,0,LC
155030,Macroramphosus scolopax,LC,mediterranean,0,LC
155030,Macroramphosus scolopax,LC,gulf_of_mexico,0,LC
155040,Etropus rimosus,LC,gulf_of_mexico,0,LC
155043,Decapterus russelli,LC,persian_gulf,0,LC
155044,Buglossidium luteum,LC,europe,0,LC
155044,Buglossidium luteum,LC,mediterranean,0,LC
155052,Dactyloptena gilberti,LC,persian_gulf,0,LC
155059,Gillellus healae,LC,gulf_of_mexico,0,LC
155068,Remora brachyptera,"NA",europe,NA,NA
155068,Remora brachyptera,DD,mediterranean,NA,DD
155068,Remora brachyptera,LC,gulf_of_mexico,0,LC
155075,Remora albescens,"NA",europe,NA,NA
155075,Remora albescens,LC,gulf_of_mexico,0,LC
155081,Hyperoglyphe perciformis,DD,europe,NA,DD
155086,Omobranchus fasciolatus,LC,persian_gulf,0,LC
155093,Derichthys serpentinus,LC,europe,0,LC
155096,Sarda sarda,LC,europe,0,LC
155096,Sarda sarda,LC,mediterranean,0,LC
155096,Sarda sarda,LC,gulf_of_mexico,0,LC
155104,Cheilopogon pinnatibarbatus,LC,europe,0,LC
155105,Platycephalus indicus,LC,persian_gulf,0,LC
